campaign_id,brand,campaign_name,start_date,end_date,channel,target_model,audience_segment,message_subject,message_body,impressions,clicks,opens,ctr,conversion_rate
CAMP-MAR-10000,Maruti,Fronx Discount Campaign 19,2024-09-24,2024-10-06,In-showroom,Fronx,Urban Families,Save big on Fronx — Exchange bonus available,Save big on Fronx — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-09-24 to 2024-10-06.,75826,4761,,0.0628,0.079
CAMP-MAR-10001,Maruti,Fronx Festive Offer Campaign 50,2025-06-01,2025-06-27,Social Media,Fronx,Affluent Buyers,Fronx: Feature-packed & family-friendly,Fronx: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2025-06-01 to 2025-06-27.,500,15,,0.03,0.078
CAMP-MAR-10002,Maruti,WagonR Discount Campaign 43,2024-04-15,2024-04-29,Social Media,WagonR,Gen Z,Save big on WagonR — Exchange bonus available,Save big on WagonR — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-04-15 to 2024-04-29.,36921,1196,,0.0324,0.014
CAMP-MAR-10003,Maruti,Ignis Festive Offer Campaign 34,2024-04-24,2024-06-16,TV,Ignis,Gen Z,Save big on Ignis — Exchange bonus available,Save big on Ignis — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2024-04-24 to 2024-06-16.,46751,252,,0.0054,0.045
CAMP-MAR-10004,Maruti,Ignis Finance Offer Campaign 40,2025-05-11,2025-06-22,Social Media,Ignis,Rural Buyers,Save big on Ignis — Exchange bonus available,Save big on Ignis — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-05-11 to 2025-06-22.,40897,662,,0.0162,0.053
CAMP-MAR-10005,Maruti,WagonR Festive Offer Campaign 36,2024-04-11,2024-04-19,Email,WagonR,Affluent Buyers,Test drive the new WagonR today,Test drive the new WagonR today — Book online or visit your nearest Maruti dealer. Offer valid from 2024-04-11 to 2024-04-19.,25023,925,1618,0.037,0.078
CAMP-MAR-10006,Maruti,Fronx Finance Offer Campaign 37,2025-04-12,2025-05-10,Social Media,Fronx,Affluent Buyers,Save big on Fronx — Exchange bonus available,Save big on Fronx — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-04-12 to 2025-05-10.,54545,376,,0.0069,0.074
CAMP-MAR-10007,Maruti,Ertiga Exchange Bonus Campaign 39,2025-04-15,2025-04-25,Search Ads,Ertiga,Tech-savvy Professionals,Ertiga: Feature-packed & family-friendly,Ertiga: Feature-packed & family-friendly — Book online or visit your nearest Maruti dealer. Offer valid from 2025-04-15 to 2025-04-25.,34108,1425,,0.0418,0.051
CAMP-MAR-10008,Maruti,Grand Vitara Test Drive Campaign 24,2024-06-08,2024-07-23,Social Media,Grand Vitara,First-time Buyers,Test drive the new Grand Vitara today,Test drive the new Grand Vitara today — Book online or visit your nearest Maruti dealer. Offer valid from 2024-06-08 to 2024-07-23.,76160,982,,0.0129,0.071
CAMP-MAR-10009,Maruti,Fronx Festive Offer Campaign 8,2024-01-29,2024-02-12,In-showroom,Fronx,First-time Buyers,Exclusive offer on Fronx — Limited time!,Exclusive offer on Fronx — Limited time! — Book online or visit your nearest Maruti dealer. Offer valid from 2024-01-29 to 2024-02-12.,76587,5851,,0.0764,0.045
CAMP-MAR-10010,Maruti,Baleno Discount Campaign 14,2025-01-01,2025-02-02,Social Media,Baleno,Rural Buyers,Test drive the new Baleno today,Test drive the new Baleno today — Book online or visit your nearest Maruti dealer. Offer valid from 2025-01-01 to 2025-02-02.,25558,592,,0.0232,0.05
CAMP-MAR-10011,Maruti,Fronx Discount Campaign 14,2024-04-09,2024-04-30,Display Ads,Fronx,Gen Z,Drive home a Fronx with low EMI,Drive home a Fronx with low EMI — Book online or visit your nearest Maruti dealer. Offer valid from 2024-04-09 to 2024-04-30.,40448,234,,0.0058,0.019
CAMP-MAR-10012,Maruti,Fronx Test Drive Campaign 5,2025-07-02,2025-07-27,Email,Fronx,Urban Families,Save big on Fronx — Exchange bonus available,Save big on Fronx — Exchange bonus available — Book online or visit your nearest Maruti dealer. Offer valid from 2025-07-02 to 2025-07-27.,43856,2613,4034,0.0596,0.055
