order_id,brand,customer_id,dealer_id,purchase_date,model,quantity,unit_price,payment_method,region,city
ORD-MAR-20000,Maruti,fda8277d4daae17b,DLR-132,2024-10-06 10:40:08,Alto,1,381109,Finance,Gujarat,Surat
ORD-MAR-20001,Maruti,8af5eb842c884582,DLR-101,2024-05-20 19:12:44,Swift,1,638509,EMI,Delhi NCR,Noida
ORD-MAR-20002,Maruti,3da749df136af05e,DLR-126,2025-08-14 04:22:05,Brezza,1,1171422,Cash,Bihar,Bhagalpur
ORD-MAR-20003,Maruti,a49cc0c9fbf750ee,DLR-109,2025-03-23 04:56:04,Fronx,1,974185,Lease,Bihar,Bhagalpur
ORD-MAR-20004,Maruti,66e4e07e8e867208,DLR-127,2025-01-04 21:52:13,Grand Vitara,1,1948245,Finance,Bihar,Gaya
ORD-MAR-20005,Maruti,185058c151cbfa67,DLR-126,2025-06-02 08:49:28,Baleno,1,876912,EMI,West Bengal,Kolkata
ORD-MAR-20006,Maruti,dcc21f621da82dbd,DLR-122,2025-04-26 10:53:09,Brezza,1,1114842,Finance,Maharashtra,Mumbai
ORD-MAR-20007,Maruti,de112d076aa828b3,DLR-146,2025-02-05 12:53:24,Brezza,1,970070,EMI,Gujarat,Ahmedabad
ORD-MAR-20008,Maruti,65878fc531f5299f,DLR-138,2025-01-13 00:38:41,Dzire,10,720637,Finance,Uttar Pradesh,Lucknow
ORD-MAR-20009,Maruti,1f7957799b82b2b0,DLR-142,2024-09-29 13:24:16,Brezza,1,1085486,Finance,Uttar Pradesh,Varanasi
ORD-MAR-20010,Maruti,9ada31dacea1b3da,DLR-105,2025-08-25 20:43:34,Swift,1,711320,Finance,Tamil Nadu,Chennai
ORD-MAR-20011,Maruti,16f6ddecf78da039,DLR-123,2025-06-12 22:38:55,Ertiga,1,1026400,Finance,Uttar Pradesh,Varanasi
ORD-MAR-20012,Maruti,f1bf1a0232ba562c,DLR-135,2025-07-21 01:03:13,Fronx,1,951377,Finance,Bihar,Bhagalpur
ORD-MAR-20013,Maruti,21fb5830bd0ff298,DLR-139,2024-01-06 10:11:27,Fronx,1,1080508,Finance,Uttar Pradesh,Varanasi
ORD-MAR-20014,Maruti,0b58136f3c0bbdc9,DLR-104,2025-02-13 11:44:35,Fronx,1,1115759,Finance,Karnataka,Mysuru
ORD-MAR-20015,Maruti,6cae9e07b4652cbc,DLR-144,2024-09-15 14:13:25,Swift,1,781493,Finance,Delhi NCR,Noida
ORD-MAR-20016,Maruti,9374fefa24e9e2f7,DLR-106,2024-05-22 18:15:43,WagonR,1,589032,Finance,Uttar Pradesh,Kanpur
ORD-MAR-20017,Maruti,49cc8f1f3a788128,DLR-133,2024-02-15 01:58:32,Fronx,1,1009561,Finance,Karnataka,Mysuru
ORD-MAR-20018,Maruti,7fcb37f71c456b15,DLR-124,2024-06-20 02:56:08,Baleno,1,706871,EMI,Gujarat,Vadodara
ORD-MAR-20019,Maruti,dec8d0bcd75a5316,DLR-130,2024-07-31 18:54:31,Grand Vitara,1,1858631,Finance,Karnataka,Mysuru
ORD-MAR-20020,Maruti,3377f64d25a3bffb,DLR-134,2024-06-19 04:32:04,WagonR,1,531583,Lease,Rajasthan,Udaipur
ORD-MAR-20021,Maruti,5099517e5856141c,DLR-131,2024-09-04 16:04:02,WagonR,1,595002,Lease,Delhi NCR,Noida
ORD-MAR-20022,Maruti,10e280b8670d1b2a,DLR-108,2024-06-05 01:24:18,Swift,1,640529,Cash,Karnataka,Mangalore
ORD-MAR-20023,Maruti,25402005f99148a3,DLR-102,2025-04-21 21:28:25,Brezza,1,1209633,Cash,Uttar Pradesh,Lucknow
ORD-MAR-20024,Maruti,1c302622ec2b2906,DLR-133,2024-08-13 21:30:20,Dzire,6,777043,EMI,Gujarat,Ahmedabad
ORD-MAR-20025,Maruti,6e847c1bffb86b6c,DLR-135,2024-04-05 00:47:35,Swift,5,627204,Finance,Bihar,Gaya
ORD-MAR-20026,Maruti,39ccba979fae4726,DLR-103,2025-05-26 16:49:15,Baleno,1,882247,Finance,Rajasthan,Jodhpur
ORD-MAR-20027,Maruti,50d779f154314199,DLR-133,2025-08-13 01:39:51,WagonR,1,534075,EMI,Bihar,Bhagalpur
ORD-MAR-20028,Maruti,46a915e965bdfd15,DLR-135,2025-08-14 16:31:28,Brezza,1,1096329,Finance,Bihar,Gaya
ORD-MAR-20029,Maruti,048ed830340d44d5,DLR-133,2025-08-12 07:37:29,Ignis,2,629984,Finance,Karnataka,Bengaluru
ORD-MAR-20030,Maruti,bfdae71e4d9af312,DLR-113,2024-02-18 07:37:45,Fronx,1,974606,Cash,Karnataka,Bengaluru
ORD-MAR-20031,Maruti,a38025b8f5931dcd,DLR-112,2024-01-19 21:45:28,Ignis,1,661353,Lease,Delhi NCR,New Delhi
ORD-MAR-20032,Maruti,0d9e7b3bf54711bd,DLR-112,2024-10-09 06:19:14,Ertiga,1,1138469,Finance,Rajasthan,Jodhpur
ORD-MAR-20033,Maruti,513464bf14749541,DLR-130,2024-02-06 13:29:49,Brezza,1,1021533,Cash,West Bengal,Kolkata
ORD-MAR-20034,Maruti,3e8b627aeb18791d,DLR-114,2024-07-02 22:52:52,Brezza,1,1046985,Cash,Delhi NCR,New Delhi
ORD-MAR-20035,Maruti,980ff8d35bf96330,DLR-121,2025-06-05 02:34:48,Fronx,1,934128,Lease,Bihar,Patna
ORD-MAR-20036,Maruti,b550706e86b35b2d,DLR-138,2024-09-26 05:46:13,Swift,1,711971,Finance,Bihar,Gaya
ORD-MAR-20037,Maruti,b5931128009d26e5,DLR-120,2024-07-03 07:17:01,Dzire,1,792923,Finance,Delhi NCR,Noida
ORD-MAR-20038,Maruti,a59800bccedefd70,DLR-143,2024-10-29 09:11:25,Swift,1,753573,Finance,Tamil Nadu,Madurai
ORD-MAR-20039,Maruti,e631eddb55d2a32c,DLR-121,2024-06-16 01:33:35,Dzire,1,764351,Cash,Delhi NCR,Noida
ORD-MAR-20040,Maruti,3e76888a93df9fdc,DLR-136,2025-07-23 20:45:05,WagonR,1,579872,Cash,Maharashtra,Mumbai
ORD-MAR-20041,Maruti,018cfaccaff4cd86,DLR-131,2025-03-03 21:57:40,Swift,1,701268,Finance,Tamil Nadu,Madurai
ORD-MAR-20042,Maruti,94fd09165884eea6,DLR-120,2024-06-17 19:11:26,Ertiga,1,1217076,Finance,Bihar,Patna
ORD-MAR-20043,Maruti,5c72eae608505a72,DLR-135,2025-04-26 00:36:23,Brezza,1,1110629,EMI,Rajasthan,Jaipur
ORD-MAR-20044,Maruti,995cf816599fd7eb,DLR-100,2024-01-12 08:40:55,Swift,1,756057,Finance,Karnataka,Mangalore
ORD-MAR-20045,Maruti,2e33d2dbbc27f7d5,DLR-120,2025-06-02 11:02:11,Grand Vitara,1,1723878,EMI,Tamil Nadu,Chennai
ORD-MAR-20046,Maruti,2747d8327e39b9cd,DLR-117,2025-08-11 17:46:07,WagonR,1,497609,Finance,Tamil Nadu,Coimbatore
ORD-MAR-20047,Maruti,994745ea2f77c465,DLR-103,2025-06-26 23:12:34,WagonR,1,513666,Finance,Delhi NCR,New Delhi
ORD-MAR-20048,Maruti,8de3345eeb41e21a,DLR-133,2025-04-22 04:45:09,Brezza,1,985845,EMI,Bihar,Patna
ORD-MAR-20049,Maruti,e23ee9cb6a8addea,DLR-121,2024-05-10 08:15:35,Grand Vitara,1,1755019,Lease,Uttar Pradesh,Lucknow
