feedback_id,brand,source,timestamp,text,engagement_metrics,geo_location
FDBK-MAR-30000,Maruti,DealerSurvey,2024-02-08 09:35:09,Very satisfied with the mileage on my Baleno.,"{'likes': 90, 'shares': 82, 'comments': 19}",Jaipur
FDBK-MAR-30001,Maruti,Facebook,2024-03-22 21:51:25,"Loving my new Alto, smooth ride and great features!","{'likes': 324, 'shares': 60, 'comments': 20}",Pune
FDBK-MAR-30002,Maruti,DealerReview,2024-03-27 20:11:43,The Baleno is value for money and feature-rich.,"{'likes': 4, 'shares': 38, 'comments': 8}",Jaipur
FDBK-MAR-30003,Maruti,YouTubeComment,2025-06-21 06:55:30,Great service from Maruti dealer when I bought my Dzire.,"{'likes': 446, 'shares': 48, 'comments': 13}",Lucknow
FDBK-MAR-30004,Maruti,Instagram,2024-06-08 00:00:10,"Visited dealer to check Alto, staff was okay.","{'likes': 79, 'shares': 86, 'comments': 38}",Chandigarh
FDBK-MAR-30005,Maruti,Facebook,2025-05-14 17:13:15,"The Dzire has good design, waiting for more reviews.","{'likes': 375, 'shares': 45, 'comments': 4}",Nagpur
FDBK-MAR-30006,Maruti,Twitter,2024-09-17 04:41:46,The Alto is value for money and feature-rich.,"{'likes': 211, 'shares': 86, 'comments': 36}",Kolkata
FDBK-MAR-30007,Maruti,YouTubeComment,2024-08-23 00:34:24,"Considering buying the Ignis, still comparing options.","{'likes': 173, 'shares': 48, 'comments': 8}",Indore
FDBK-MAR-30008,Maruti,Facebook,2024-05-01 10:45:18,Very satisfied with the mileage on my WagonR.,"{'likes': 412, 'shares': 18, 'comments': 46}",Pune
FDBK-MAR-30009,Maruti,Twitter,2025-07-31 22:59:16,"Loving my new Dzire, smooth ride and great features!","{'likes': 380, 'shares': 83, 'comments': 34}",Chennai
FDBK-MAR-30010,Maruti,Twitter,2025-04-14 04:48:32,Mileage of my Alto is not as expected.,"{'likes': 397, 'shares': 78, 'comments': 24}",Surat
FDBK-MAR-30011,Maruti,DealerSurvey,2024-04-24 21:29:35,"The Alto has good design, waiting for more reviews.","{'likes': 132, 'shares': 89, 'comments': 25}",Hyderabad
FDBK-MAR-30012,Maruti,DealerReview,2025-05-12 01:31:25,Very satisfied with the mileage on my Swift.,"{'likes': 256, 'shares': 8, 'comments': 47}",Pune
FDBK-MAR-30013,Maruti,Twitter,2024-06-20 10:53:42,"The Grand Vitara has good design, waiting for more reviews.","{'likes': 390, 'shares': 12, 'comments': 31}",Nagpur
FDBK-MAR-30014,Maruti,Facebook,2025-07-13 22:57:43,"The Grand Vitara has good design, waiting for more reviews.","{'likes': 178, 'shares': 19, 'comments': 39}",Indore
FDBK-MAR-30015,Maruti,Twitter,2024-11-20 23:55:05,Service delays are frustrating at Maruti dealership.,"{'likes': 476, 'shares': 40, 'comments': 23}",Delhi
FDBK-MAR-30016,Maruti,Twitter,2025-02-03 06:33:37,Facing issues with AC in my Dzire.,"{'likes': 242, 'shares': 31, 'comments': 49}",Chandigarh
FDBK-MAR-30017,Maruti,DealerReview,2024-11-08 13:48:09,"Considering buying the Ertiga, still comparing options.","{'likes': 492, 'shares': 71, 'comments': 45}",Patna
FDBK-MAR-30018,Maruti,Instagram,2025-07-28 08:08:56,"Test drove the Ignis, decent experience.","{'likes': 419, 'shares': 29, 'comments': 33}",Indore
FDBK-MAR-30019,Maruti,Facebook,2024-03-30 16:09:03,"The Swift is perfect for my family, spacious and reliable.","{'likes': 11, 'shares': 66, 'comments': 46}",Patna
FDBK-MAR-30020,Maruti,DealerSurvey,2025-05-02 08:02:47,"Loving my new Dzire, smooth ride and great features!","{'likes': 121, 'shares': 74, 'comments': 19}",Hyderabad
FDBK-MAR-30021,Maruti,Twitter,2025-07-31 19:30:28,"Loving my new Swift, smooth ride and great features!","{'likes': 138, 'shares': 15, 'comments': 0}",Pune
FDBK-MAR-30022,Maruti,Instagram,2025-04-24 17:21:02,Very satisfied with the mileage on my WagonR.,"{'likes': 337, 'shares': 7, 'comments': 30}",Nagpur
FDBK-MAR-30023,Maruti,DealerReview,2024-03-14 10:06:24,Not happy with the after-sales service for my WagonR.,"{'likes': 46, 'shares': 45, 'comments': 36}",Pune
FDBK-MAR-30024,Maruti,DealerSurvey,2024-03-02 19:43:09,Very satisfied with the mileage on my Swift.,"{'likes': 417, 'shares': 80, 'comments': 35}",Nagpur
FDBK-MAR-30025,Maruti,Instagram,2025-01-05 00:01:01,"The Ertiga is perfect for my family, spacious and reliable.","{'likes': 240, 'shares': 71, 'comments': 31}",Chennai
FDBK-MAR-30026,Maruti,Twitter,2025-07-21 04:54:56,"Test drove the Dzire, decent experience.","{'likes': 307, 'shares': 52, 'comments': 4}",Chandigarh
FDBK-MAR-30027,Maruti,YouTubeComment,2024-07-30 00:16:47,Great service from Maruti dealer when I bought my Ignis.,"{'likes': 315, 'shares': 35, 'comments': 16}",Indore
FDBK-MAR-30028,Maruti,Instagram,2024-01-26 12:16:36,"Visited dealer to check Swift, staff was okay.","{'likes': 138, 'shares': 97, 'comments': 5}",Hyderabad
FDBK-MAR-30029,Maruti,Twitter,2025-01-19 21:32:46,The Baleno feels overpriced for what it offers.,"{'likes': 242, 'shares': 8, 'comments': 0}",Bengaluru
FDBK-MAR-30030,Maruti,YouTubeComment,2024-04-26 23:47:52,"The Swift is perfect for my family, spacious and reliable.","{'likes': 464, 'shares': 10, 'comments': 29}",Chennai
FDBK-MAR-30031,Maruti,DealerReview,2024-04-03 10:46:49,Service delays are frustrating at Maruti dealership.,"{'likes': 114, 'shares': 25, 'comments': 43}",Nagpur
FDBK-MAR-30032,Maruti,DealerReview,2025-01-01 19:29:45,"Loving my new Grand Vitara, smooth ride and great features!","{'likes': 104, 'shares': 31, 'comments': 5}",Patna
FDBK-MAR-30033,Maruti,Facebook,2025-07-27 10:06:02,"The WagonR is perfect for my family, spacious and reliable.","{'likes': 360, 'shares': 51, 'comments': 1}",Mumbai
FDBK-MAR-30034,Maruti,Facebook,2024-04-17 17:05:13,"The Swift is perfect for my family, spacious and reliable.","{'likes': 472, 'shares': 61, 'comments': 10}",Patna
FDBK-MAR-30035,Maruti,DealerSurvey,2025-06-07 14:42:40,Great service from Maruti dealer when I bought my Alto.,"{'likes': 176, 'shares': 20, 'comments': 32}",Ahmedabad
FDBK-MAR-30036,Maruti,Instagram,2025-05-08 19:26:45,Service delays are frustrating at Maruti dealership.,"{'likes': 98, 'shares': 89, 'comments': 46}",Indore
FDBK-MAR-30037,Maruti,Facebook,2024-04-27 18:51:09,"Test drove the Fronx, decent experience.","{'likes': 68, 'shares': 73, 'comments': 5}",Nagpur
FDBK-MAR-30038,Maruti,YouTubeComment,2025-02-18 15:21:52,Very satisfied with the mileage on my Grand Vitara.,"{'likes': 379, 'shares': 58, 'comments': 41}",Pune
FDBK-MAR-30039,Maruti,DealerSurvey,2025-06-13 10:31:59,"Considering buying the Dzire, still comparing options.","{'likes': 192, 'shares': 26, 'comments': 4}",Delhi
FDBK-MAR-30040,Maruti,YouTubeComment,2025-07-13 11:14:31,"The Alto is perfect for my family, spacious and reliable.","{'likes': 19, 'shares': 60, 'comments': 7}",Delhi
FDBK-MAR-30041,Maruti,DealerReview,2025-04-29 03:29:47,Great service from Maruti dealer when I bought my Alto.,"{'likes': 153, 'shares': 48, 'comments': 11}",Surat
FDBK-MAR-30042,Maruti,DealerReview,2025-05-18 03:09:20,"Loving my new Swift, smooth ride and great features!","{'likes': 284, 'shares': 81, 'comments': 12}",Nagpur
FDBK-MAR-30043,Maruti,YouTubeComment,2024-09-20 07:51:57,"Test drove the Alto, decent experience.","{'likes': 21, 'shares': 75, 'comments': 24}",Ahmedabad
FDBK-MAR-30044,Maruti,DealerSurvey,2025-01-12 00:07:38,Very satisfied with the mileage on my Baleno.,"{'likes': 430, 'shares': 17, 'comments': 16}",Indore
FDBK-MAR-30045,Maruti,YouTubeComment,2025-04-01 05:17:43,"Visited dealer to check Brezza, staff was okay.","{'likes': 119, 'shares': 91, 'comments': 27}",Delhi
FDBK-MAR-30046,Maruti,DealerReview,2024-06-19 17:59:32,Very satisfied with the mileage on my Grand Vitara.,"{'likes': 392, 'shares': 66, 'comments': 26}",Kolkata
FDBK-MAR-30047,Maruti,DealerSurvey,2024-08-04 08:39:09,"Visited dealer to check Alto, staff was okay.","{'likes': 7, 'shares': 35, 'comments': 36}",Indore
FDBK-MAR-30048,Maruti,Facebook,2024-01-09 02:03:21,"Test drove the Dzire, decent experience.","{'likes': 6, 'shares': 64, 'comments': 2}",Surat
FDBK-MAR-30049,Maruti,Facebook,2024-08-05 03:55:20,"Test drove the WagonR, decent experience.","{'likes': 286, 'shares': 72, 'comments': 34}",Surat
FDBK-MAR-30050,Maruti,Facebook,2025-07-02 20:42:20,Great service from Maruti dealer when I bought my Grand Vitara.,"{'likes': 266, 'shares': 72, 'comments': 40}",Patna
FDBK-MAR-30051,Maruti,Facebook,2024-12-10 22:08:51,"Saw new Fronx campaign online, looks interesting.","{'likes': 297, 'shares': 70, 'comments': 29}",Lucknow
FDBK-MAR-30052,Maruti,Facebook,2025-07-26 22:48:44,"The Fronx has good design, waiting for more reviews.","{'likes': 383, 'shares': 83, 'comments': 25}",Nagpur
FDBK-MAR-30053,Maruti,DealerSurvey,2025-03-06 06:25:53,Great service from Maruti dealer when I bought my Dzire.,"{'likes': 217, 'shares': 30, 'comments': 45}",Delhi
FDBK-MAR-30054,Maruti,DealerSurvey,2025-07-26 03:20:41,The Ignis feels overpriced for what it offers.,"{'likes': 253, 'shares': 28, 'comments': 46}",Ahmedabad
FDBK-MAR-30055,Maruti,Facebook,2024-07-11 01:47:09,"The WagonR is perfect for my family, spacious and reliable.","{'likes': 414, 'shares': 54, 'comments': 36}",Indore
FDBK-MAR-30056,Maruti,Instagram,2025-06-26 00:04:20,Facing issues with AC in my Baleno.,"{'likes': 464, 'shares': 74, 'comments': 47}",Ahmedabad
FDBK-MAR-30057,Maruti,DealerReview,2025-01-12 09:30:02,The WagonR feels overpriced for what it offers.,"{'likes': 304, 'shares': 89, 'comments': 15}",Patna
FDBK-MAR-30058,Maruti,DealerReview,2024-08-28 04:26:08,Not happy with the after-sales service for my WagonR.,"{'likes': 481, 'shares': 50, 'comments': 21}",Bengaluru
FDBK-MAR-30059,Maruti,DealerSurvey,2024-09-02 05:20:45,Not happy with the after-sales service for my Alto.,"{'likes': 427, 'shares': 54, 'comments': 18}",Mumbai
FDBK-MAR-30060,Maruti,Facebook,2025-05-03 17:57:47,The Ignis is value for money and feature-rich.,"{'likes': 298, 'shares': 69, 'comments': 40}",Nagpur
FDBK-MAR-30061,Maruti,DealerSurvey,2024-07-14 06:38:34,Great service from Maruti dealer when I bought my Baleno.,"{'likes': 88, 'shares': 39, 'comments': 44}",Chandigarh
FDBK-MAR-30062,Maruti,YouTubeComment,2024-09-30 09:49:55,Great service from Maruti dealer when I bought my Alto.,"{'likes': 20, 'shares': 0, 'comments': 33}",Ahmedabad
FDBK-MAR-30063,Maruti,YouTubeComment,2024-01-24 06:46:29,Great service from Maruti dealer when I bought my Baleno.,"{'likes': 259, 'shares': 61, 'comments': 12}",Chennai
FDBK-MAR-30064,Maruti,Instagram,2025-01-20 22:34:23,"The Ignis has good design, waiting for more reviews.","{'likes': 489, 'shares': 34, 'comments': 34}",Nagpur
FDBK-MAR-30065,Maruti,Instagram,2024-04-03 15:05:26,Very satisfied with the mileage on my Fronx.,"{'likes': 468, 'shares': 25, 'comments': 8}",Chennai
FDBK-MAR-30066,Maruti,Facebook,2025-01-07 19:17:35,Great service from Maruti dealer when I bought my Baleno.,"{'likes': 93, 'shares': 31, 'comments': 28}",Mumbai
FDBK-MAR-30067,Maruti,YouTubeComment,2025-01-07 10:11:06,Great service from Maruti dealer when I bought my Alto.,"{'likes': 101, 'shares': 68, 'comments': 8}",Delhi
FDBK-MAR-30068,Maruti,YouTubeComment,2024-10-15 19:23:20,Service delays are frustrating at Maruti dealership.,"{'likes': 368, 'shares': 17, 'comments': 49}",Jaipur
FDBK-MAR-30069,Maruti,DealerReview,2024-05-10 22:14:59,"Test drove the Fronx, decent experience.","{'likes': 12, 'shares': 41, 'comments': 44}",Mumbai
FDBK-MAR-30070,Maruti,DealerReview,2024-07-28 22:31:39,Very satisfied with the mileage on my Grand Vitara.,"{'likes': 252, 'shares': 99, 'comments': 27}",Hyderabad
FDBK-MAR-30071,Maruti,DealerReview,2024-02-17 13:01:46,"Loving my new Grand Vitara, smooth ride and great features!","{'likes': 224, 'shares': 30, 'comments': 34}",Chandigarh
FDBK-MAR-30072,Maruti,DealerSurvey,2025-03-24 15:43:28,The Grand Vitara feels overpriced for what it offers.,"{'likes': 440, 'shares': 90, 'comments': 4}",Ahmedabad
FDBK-MAR-30073,Maruti,DealerReview,2025-01-17 16:24:30,"Loving my new Ignis, smooth ride and great features!","{'likes': 78, 'shares': 94, 'comments': 11}",Lucknow
FDBK-MAR-30074,Maruti,DealerReview,2025-03-27 10:43:01,"Test drove the Ignis, decent experience.","{'likes': 485, 'shares': 2, 'comments': 9}",Chennai
FDBK-MAR-30075,Maruti,Facebook,2024-08-04 00:03:19,"Test drove the Fronx, decent experience.","{'likes': 40, 'shares': 24, 'comments': 36}",Surat
FDBK-MAR-30076,Maruti,DealerSurvey,2025-06-27 07:07:18,Service delays are frustrating at Maruti dealership.,"{'likes': 104, 'shares': 48, 'comments': 24}",Chandigarh
FDBK-MAR-30077,Maruti,DealerReview,2025-08-17 17:37:28,"Saw new Grand Vitara campaign online, looks interesting.","{'likes': 445, 'shares': 8, 'comments': 1}",Delhi
FDBK-MAR-30078,Maruti,DealerSurvey,2025-01-17 10:40:33,Great service from Maruti dealer when I bought my Dzire.,"{'likes': 40, 'shares': 5, 'comments': 27}",Ahmedabad
FDBK-MAR-30079,Maruti,YouTubeComment,2024-02-18 22:43:18,"Loving my new Ertiga, smooth ride and great features!","{'likes': 57, 'shares': 3, 'comments': 35}",Pune
FDBK-MAR-30080,Maruti,Facebook,2025-03-22 13:51:53,Mileage of my Dzire is not as expected.,"{'likes': 338, 'shares': 41, 'comments': 41}",Indore
FDBK-MAR-30081,Maruti,Facebook,2024-03-21 13:26:22,"The Ignis is perfect for my family, spacious and reliable.","{'likes': 14, 'shares': 64, 'comments': 43}",Bengaluru
FDBK-MAR-30082,Maruti,YouTubeComment,2025-04-12 17:30:40,Service delays are frustrating at Maruti dealership.,"{'likes': 146, 'shares': 35, 'comments': 27}",Bengaluru
FDBK-MAR-30083,Maruti,YouTubeComment,2025-07-09 04:10:45,"Loving my new Grand Vitara, smooth ride and great features!","{'likes': 77, 'shares': 46, 'comments': 8}",Mumbai
FDBK-MAR-30084,Maruti,Instagram,2025-06-05 00:43:29,The Alto feels overpriced for what it offers.,"{'likes': 88, 'shares': 49, 'comments': 32}",Delhi
FDBK-MAR-30085,Maruti,Instagram,2025-01-16 11:18:21,Service delays are frustrating at Maruti dealership.,"{'likes': 215, 'shares': 35, 'comments': 48}",Patna
FDBK-MAR-30086,Maruti,DealerReview,2024-11-15 09:33:50,Mileage of my Brezza is not as expected.,"{'likes': 44, 'shares': 49, 'comments': 36}",Ahmedabad
FDBK-MAR-30087,Maruti,DealerReview,2025-06-27 15:51:01,"The Swift has good design, waiting for more reviews.","{'likes': 369, 'shares': 59, 'comments': 17}",Nagpur
FDBK-MAR-30088,Maruti,DealerSurvey,2024-03-12 12:03:50,The Dzire is value for money and feature-rich.,"{'likes': 308, 'shares': 32, 'comments': 40}",Hyderabad
FDBK-MAR-30089,Maruti,YouTubeComment,2024-07-14 23:11:11,The WagonR feels overpriced for what it offers.,"{'likes': 1, 'shares': 12, 'comments': 39}",Indore
FDBK-MAR-30090,Maruti,Twitter,2024-02-26 16:04:36,"Visited dealer to check Dzire, staff was okay.","{'likes': 366, 'shares': 8, 'comments': 7}",Delhi
FDBK-MAR-30091,Maruti,DealerReview,2025-08-07 20:29:17,Not happy with the after-sales service for my WagonR.,"{'likes': 444, 'shares': 64, 'comments': 16}",Hyderabad
FDBK-MAR-30092,Maruti,YouTubeComment,2024-10-29 00:42:15,"Visited dealer to check Dzire, staff was okay.","{'likes': 128, 'shares': 100, 'comments': 27}",Surat
FDBK-MAR-30093,Maruti,YouTubeComment,2024-04-06 07:37:40,The Grand Vitara is value for money and feature-rich.,"{'likes': 36, 'shares': 17, 'comments': 7}",Jaipur
FDBK-MAR-30094,Maruti,Twitter,2025-08-14 18:57:00,The Brezza is value for money and feature-rich.,"{'likes': 444, 'shares': 48, 'comments': 34}",Lucknow
FDBK-MAR-30095,Maruti,Twitter,2025-04-21 00:43:44,Mileage of my Ignis is not as expected.,"{'likes': 495, 'shares': 34, 'comments': 22}",Bengaluru
FDBK-MAR-30096,Maruti,Twitter,2024-08-05 19:19:33,Not happy with the after-sales service for my Ertiga.,"{'likes': 261, 'shares': 2, 'comments': 48}",Pune
FDBK-MAR-30097,Maruti,DealerReview,2024-01-03 06:18:23,Facing issues with AC in my Grand Vitara.,"{'likes': 381, 'shares': 51, 'comments': 15}",Nagpur
FDBK-MAR-30098,Maruti,DealerSurvey,2024-03-05 16:11:45,Great service from Maruti dealer when I bought my Alto.,"{'likes': 269, 'shares': 0, 'comments': 27}",Ahmedabad
FDBK-MAR-30099,Maruti,Instagram,2025-01-30 18:47:03,"Test drove the Baleno, decent experience.","{'likes': 142, 'shares': 49, 'comments': 47}",Indore
FDBK-MAR-30100,Maruti,YouTubeComment,2025-04-15 01:07:57,The Fronx feels overpriced for what it offers.,"{'likes': 317, 'shares': 45, 'comments': 20}",Ahmedabad
FDBK-MAR-30101,Maruti,DealerReview,2024-09-13 02:17:41,"Considering buying the Grand Vitara, still comparing options.","{'likes': 192, 'shares': 29, 'comments': 41}",Lucknow
FDBK-MAR-30102,Maruti,YouTubeComment,2025-01-18 18:04:04,"Considering buying the Grand Vitara, still comparing options.","{'likes': 214, 'shares': 16, 'comments': 32}",Lucknow
FDBK-MAR-30103,Maruti,Instagram,2024-07-29 04:14:23,The Swift feels overpriced for what it offers.,"{'likes': 494, 'shares': 82, 'comments': 34}",Ahmedabad
FDBK-MAR-30104,Maruti,Instagram,2025-07-04 19:35:00,"The Fronx is perfect for my family, spacious and reliable.","{'likes': 316, 'shares': 53, 'comments': 1}",Surat
FDBK-MAR-30105,Maruti,DealerReview,2024-02-25 05:01:15,"The Dzire is perfect for my family, spacious and reliable.","{'likes': 178, 'shares': 1, 'comments': 42}",Surat
FDBK-MAR-30106,Maruti,Facebook,2025-02-03 08:43:52,"Visited dealer to check Fronx, staff was okay.","{'likes': 181, 'shares': 75, 'comments': 7}",Surat
FDBK-MAR-30107,Maruti,Facebook,2024-10-17 07:08:33,Service delays are frustrating at Maruti dealership.,"{'likes': 341, 'shares': 43, 'comments': 33}",Kolkata
FDBK-MAR-30108,Maruti,Instagram,2024-01-03 16:05:10,Facing issues with AC in my WagonR.,"{'likes': 56, 'shares': 38, 'comments': 19}",Indore
FDBK-MAR-30109,Maruti,Instagram,2024-08-15 17:32:18,Service delays are frustrating at Maruti dealership.,"{'likes': 261, 'shares': 96, 'comments': 45}",Chennai
FDBK-MAR-30110,Maruti,DealerSurvey,2024-07-05 17:04:17,"The Dzire is perfect for my family, spacious and reliable.","{'likes': 472, 'shares': 36, 'comments': 18}",Kolkata
FDBK-MAR-30111,Maruti,DealerReview,2025-08-05 05:47:44,Very satisfied with the mileage on my Ignis.,"{'likes': 201, 'shares': 93, 'comments': 50}",Jaipur
FDBK-MAR-30112,Maruti,Instagram,2024-08-13 18:50:33,The Alto is value for money and feature-rich.,"{'likes': 136, 'shares': 47, 'comments': 16}",Chennai
FDBK-MAR-30113,Maruti,Twitter,2024-01-23 20:23:33,Great service from Maruti dealer when I bought my Brezza.,"{'likes': 489, 'shares': 55, 'comments': 37}",Bengaluru
